Category,Item,Regular Price,Large Price,Price,With Cone,img
Flavoured Shakes,Cookie Shake,850,950,,,
Flavoured Shakes,Classic Vanilla Shake,850,950,,,
Flavoured Shakes,Brownie Shake,850,950,,,
Flavoured Shakes,Mars Shake,850,950,,,
Flavoured Shakes,Snickers Shake,850,950,,,
Flavoured Shakes,Nutella Shake,850,950,,,
Flavoured Shakes,Lotus Shake,850,950,,,
Flavoured Shakes,Oreo Shake,850,950,,,
Kurtos' Specials,Ice cream,,,300,,
Kurtos' Specials,Brownie,,,400,,
Kurtos' Specials,Ice cream + Brownie,,,450,,
Kurtos' Specials,Brownie Melt with Icecream,,,795,,
Cold Beverages,Iced Americano,500,600,,,
Cold Beverages,Iced Latte,720,820,,,
Cold Beverages,Iced Vanilla Latte,750,850,,,
Cold Beverages,Iced Caramel Latte,750,850,,,
Cold Beverages,Iced Spanish Latte,750,850,,,
Cold Beverages,Iced Hazelnut Latte,750,850,,,
Cold Beverages,Iced Mocca Latte,750,850,,,
Cold Beverages,Iced Irish Latte,750,850,,,
Cold Beverages,Affogato,585,685,,,
Frozen Frappes,Caramel Frappe,850,950,,,
Frozen Frappes,Mocca Frappe,850,950,,,
Frozen Frappes,Lotus Frappe,850,950,,,
Rich Mojitos,Passion Mojito,595,695,,,
Rich Mojitos,Kiwi Mojito,595,695,,,
Rich Mojitos,Strawberry Mojito,595,695,,,
Hot Beverages,Espresso,475,575,,,
Hot Beverages,Espresso Macchiato,475,575,,,
Hot Beverages,Classic Americano,500,600,,,
Hot Beverages,Cortado,500,600,,,
Hot Beverages,Cafe Latte,720,820,,,
Hot Beverages,Flat White,720,820,,,
Hot Beverages,Creamy Cappuccino,720,820,,,
Hot Beverages,Vanilla Whisper Latte,750,850,,,
Hot Beverages,Hazelnut Latte,750,850,,,
Hot Beverages,Irish Latte,750,850,,,
Hot Beverages,Caramel Kiss Latte,750,850,,,
Hot Beverages,Spanish Bliss Latte,750,850,,,
Hot Beverages,Mochaccino,750,850,,,
Hot Beverages,Caramelito,750,850,,,
Hot Beverages,Macha Latte,650,750,,,
Hot Beverages,Mocca Magic Latte,475,575,,,
Hot Beverages,Kurtos Special Coffee,750,850,,,
Hot Beverages,Hot Chocolate,650,750,,,
Hot Beverages,Mix Tea,395,,,,
Sweet Mornings,Smoothie Bowl,,,750,,
Sweet Mornings,Fluffy Loaded Waffle,,,795,,
Sweet Mornings,Fluffy Pancakes with Banana,,,650,,
Signature Sandwiches,Club Sandwich,,,1125,,
Signature Sandwiches,"Beef, Onion & Green Chilli",,,1275,,
Signature Sandwiches,Spicy Tandoori Chicken Sandwich,,,1195,,
Signature Sandwiches,Grilled Tarragon Lime Chicken Sandwich,,,1195,,
Cold Sandwiches,Curry Egg Sandwich,,,450,,
Cold Sandwiches,Chicken Mexican Sandwich,,,550,,
Cold Sandwiches,Beef Pickle Sandwich,,,625,,
Kurtos Breakfast,Kurtos Special English Breakfast,,,1650,,
Kurtos Breakfast,Scrambled Eggs,,,1050,,
Kurtos Breakfast,Spanish Omelette,,,950,,
Kurtos Breakfast,Chicken and Mushroom Omelette,,,950,,
Kurtos Breakfast,Chicken and Cheese Omelette,,,1050,,
Kurtos Breakfast,Shakshuka,,,750,,
Choose Your Cone,Sugar/Glazed,,,,,
Choose Your Cone,Cinnamon & Sugar,,,,,
Choose Your Cone,Red Velvet,,,,,
Choose Your Cone,Brownie,350,,,,
Choose Your Cone,Chimney,550,,,,
Choose Your Spread,Chocolate,,,,60,100
Choose Your Spread,Peanut Butter,,,,70,110
Choose Your Spread,Lotus,,,,90,140
Choose Your Spread,Strawberry Jam,,,,80,110
Choose Your Spread,Blueberry Jam,,,,80,110
Choose Your Filling,Custard,,,150,,
Choose Your Filling,Vanilla Ice Cream,,,200,,
Choose Your Filling,Sweet Cream,,,100,,
Choose Your Filling,Ice Cream + Brownie,,,250,,
Choose Your Filling,Seasonal Fruits + Chocolate,,,250,,
Choose Your Filling,Seasonal Fruits + Ice Cream,,,250,,
